iter	Logloss
0	0.6406456648
1	0.5953774588
2	0.5505308751
3	0.5093558175
4	0.4801311384
5	0.4542962646
6	0.425173645
7	0.4041915458
8	0.378911002
9	0.3638936724
10	0.3561242894
11	0.351348114
12	0.3331460571
13	0.3231945801
14	0.3079878671
15	0.3015987723
16	0.2911827305
17	0.2882815552
18	0.2818558829
19	0.2726743426
20	0.2700972203
21	0.2649404035
22	0.2578033011
23	0.2513875907
24	0.2478842599
25	0.2458245414
26	0.2448366438
27	0.2393229021
28	0.2339818246
29	0.2309078979
30	0.2263604082
31	0.2244510324
32	0.2220906721
33	0.2184585571
34	0.2179774693
35	0.2160457066
36	0.2129808698
37	0.2112318202
38	0.2092589024
39	0.2061122567
40	0.2039018032
41	0.2021784537
42	0.2000545611
43	0.1990633937
44	0.1982181876
45	0.1978872681
46	0.1971849932
47	0.1971705191
48	0.1961351013
49	0.1943933977
50	0.1942310442
51	0.193712507
52	0.1935222953
53	0.1933839634
54	0.1920674133
55	0.191166469
56	0.1905418178
57	0.1902863857
58	0.1884083775
59	0.1871160017
60	0.1854830279
61	0.1845362418
62	0.1830300249
63	0.1828662763
64	0.1828578622
65	0.1824050685
66	0.1819144549
67	0.1814314488
68	0.1803631374
69	0.1795290266
70	0.1793781172
71	0.1792591204
72	0.1789988164
73	0.1780724226
74	0.1779000419
75	0.1759088353
76	0.1754657963
77	0.1752144078
78	0.1749009705
79	0.1744948251
80	0.1733032663
81	0.1728194101
82	0.1726603699
83	0.1725224086
84	0.171557639
85	0.1713684518
86	0.171295057
87	0.1701468113
88	0.1694209726
89	0.1692153931
90	0.1685246059
91	0.168482339
92	0.1682536316
93	0.1677948761
94	0.1676001195
95	0.1675478472
96	0.1663494001
97	0.1659816524
98	0.1654771205
99	0.1651623535
100	0.165142746
101	0.1649321856
102	0.1649290248
103	0.1643021938
104	0.1641887774
105	0.1637611062
106	0.1635344587
107	0.1632999747
108	0.1629601179
109	0.1624931989
110	0.1616434152
111	0.1613116019
112	0.1612841797
113	0.1611197335
114	0.1610575649
115	0.1600894165
116	0.1591934749
117	0.1590814427
118	0.1587211827
119	0.1583186994
120	0.1582931628
121	0.1578335898
122	0.1571663339
123	0.1565601131
124	0.1565543147
125	0.1565490941
