iter	Passed	Remaining
0	99	49671
1	122	30389
2	151	25104
3	179	22283
4	203	20112
5	230	19004
6	255	18016
7	283	17445
8	309	16910
9	337	16518
10	358	15928
11	378	15384
12	409	15325
13	434	15068
14	464	15021
15	497	15047
16	533	15148
17	558	14955
18	585	14827
19	612	14705
20	636	14514
21	665	14469
22	696	14443
23	724	14365
24	754	14332
25	777	14172
26	797	13978
27	822	13871
28	851	13823
29	881	13802
30	910	13777
31	945	13829
32	978	13853
33	1008	13826
34	1033	13729
35	1061	13682
36	1091	13660
37	1121	13631
38	1150	13601
39	1182	13597
40	1207	13515
41	1233	13446
42	1264	13437
43	1291	13386
44	1315	13298
45	1347	13294
46	1376	13266
47	1403	13216
48	1434	13202
49	1464	13183
50	1492	13140
51	1522	13113
52	1542	13011
53	1565	12926
54	1596	12915
55	1626	12896
56	1654	12855
57	1686	12851
58	1713	12805
59	1741	12769
60	1773	12760
61	1800	12717
62	1824	12655
63	1853	12626
64	1875	12550
65	1905	12530
66	1933	12497
67	1960	12452
68	1992	12443
69	2017	12390
70	2037	12308
71	2059	12240
72	2081	12172
73	2106	12124
74	2131	12076
75	2167	12094
76	2195	12060
77	2225	12041
78	2258	12037
79	2291	12028
80	2320	12005
81	2347	11964
82	2370	11909
83	2395	11865
84	2422	11825
85	2444	11765
86	2467	11714
87	2498	11695
88	2525	11663
89	2550	11620
90	2592	11651
91	2614	11596
92	2637	11544
93	2664	11509
94	2696	11496
95	2718	11440
96	2745	11405
97	2770	11365
98	2797	11333
99	2826	11305
100	2849	11257
101	2878	11233
102	2903	11192
103	2928	11149
104	2952	11106
105	2977	11066
106	3004	11035
107	3030	10998
108	3061	10983
109	3088	10951
110	3113	10912
111	3144	10893
112	3167	10848
113	3192	10810
114	3218	10775
115	3244	10741
116	3274	10718
117	3295	10667
118	3321	10635
119	3354	10621
120	3395	10636
121	3420	10598
122	3445	10560
123	3476	10540
124	3497	10493
125	3517	10441
126	3544	10410
127	3570	10375
128	3596	10343
129	3623	10312
130	3650	10281
131	3677	10251
132	3704	10222
133	3729	10186
134	3755	10153
135	3781	10122
136	3806	10086
137	3833	10055
138	3861	10029
139	3890	10003
140	3918	9976
141	3946	9948
142	3974	9922
143	3997	9882
144	4025	9855
145	4053	9827
146	4076	9790
147	4101	9755
148	4126	9721
149	4152	9688
150	4182	9667
151	4207	9633
152	4233	9600
153	4261	9573
154	4293	9555
155	4324	9535
156	4347	9497
157	4378	9477
158	4402	9442
159	4429	9412
160	4456	9383
161	4485	9359
162	4509	9323
163	4534	9290
164	4568	9275
165	4593	9242
166	4628	9228
167	4656	9202
168	4686	9179
169	4715	9153
170	4744	9127
171	4768	9093
172	4794	9061
173	4822	9035
174	4855	9018
175	4887	8998
176	4925	8988
177	4952	8959
178	4981	8934
179	5007	8902
180	5034	8872
181	5059	8840
182	5089	8816
183	5116	8786
184	5140	8752
185	5167	8723
186	5196	8697
187	5223	8668
188	5252	8642
189	5277	8610
190	5304	8582
191	5331	8552
192	5357	8522
193	5391	8504
194	5421	8479
195	5449	8452
196	5477	8425
197	5508	8402
198	5534	8371
199	5559	8339
200	5588	8313
201	5614	8282
202	5639	8251
203	5665	8221
204	5691	8189
205	5716	8159
206	5741	8126
207	5767	8096
208	5793	8065
209	5818	8035
210	5844	8005
211	5878	7986
212	5905	7956
213	5941	7940
214	5966	7909
215	5996	7884
216	6025	7857
217	6060	7839
218	6091	7816
219	6117	7785
220	6145	7758
221	6172	7730
222	6199	7700
223	6224	7669
224	6249	7638
225	6275	7608
226	6300	7577
227	6327	7549
228	6355	7520
229	6383	7493
230	6411	7466
231	6441	7441
232	6469	7413
233	6496	7385
234	6520	7353
235	6547	7324
236	6572	7294
237	6601	7267
238	6627	7237
239	6651	7205
240	6683	7182
241	6713	7157
242	6737	7125
243	6762	7094
244	6789	7066
245	6815	7036
246	6839	7006
247	6868	6979
248	6893	6948
249	6917	6917
250	6944	6889
251	6973	6862
252	7001	6835
253	7026	6804
254	7052	6775
255	7078	6746
256	7110	6722
257	7141	6698
258	7166	6668
259	7193	6639
260	7230	6620
261	7257	6592
262	7288	6567
263	7313	6538
264	7339	6508
265	7369	6483
266	7399	6456
267	7426	6429
268	7451	6398
269	7475	6368
270	7502	6339
271	7535	6316
272	7562	6288
273	7588	6258
274	7619	6233
275	7647	6206
276	7671	6176
277	7692	6143
278	7713	6110
279	7740	6081
280	7767	6053
281	7794	6025
282	7828	6003
283	7854	5973
284	7879	5944
285	7906	5916
286	7932	5886
287	7957	5857
288	7983	5828
289	8008	5799
290	8043	5776
291	8068	5747
292	8095	5719
293	8119	5689
294	8144	5659
295	8171	5631
296	8201	5606
297	8228	5577
298	8255	5549
299	8280	5520
300	8311	5494
301	8335	5465
302	8359	5435
303	8384	5406
304	8422	5384
305	8456	5361
306	8484	5333
307	8511	5306
308	8537	5277
309	8563	5248
310	8590	5220
311	8615	5191
312	8644	5164
313	8668	5135
314	8694	5106
315	8728	5082
316	8752	5052
317	8776	5022
318	8801	4993
319	8827	4965
320	8852	4936
321	8882	4910
322	8908	4881
323	8938	4855
324	8963	4826
325	8992	4799
326	9019	4771
327	9049	4745
328	9075	4716
329	9104	4690
330	9132	4662
331	9156	4633
332	9182	4605
333	9209	4577
334	9240	4551
335	9272	4525
336	9297	4496
337	9327	4470
338	9351	4441
339	9379	4413
340	9406	4385
341	9435	4359
342	9460	4330
343	9486	4301
344	9514	4274
345	9548	4249
346	9576	4222
347	9606	4196
348	9631	4167
349	9657	4138
350	9684	4111
351	9705	4080
352	9731	4052
353	9760	4025
354	9786	3997
355	9817	3971
356	9846	3944
357	9876	3917
358	9903	3889
359	9940	3865
360	9966	3837
361	9991	3808
362	10018	3780
363	10049	3754
364	10082	3729
365	10107	3700
366	10134	3672
367	10163	3645
368	10193	3618
369	10224	3592
370	10257	3566
371	10286	3539
372	10313	3511
373	10339	3483
374	10365	3455
375	10390	3426
376	10416	3398
377	10447	3371
378	10471	3343
379	10496	3314
380	10523	3286
381	10552	3259
382	10579	3231
383	10603	3203
384	10633	3176
385	10664	3149
386	10695	3123
387	10732	3098
388	10767	3072
389	10810	3049
390	10836	3020
391	10858	2991
392	10884	2963
393	10911	2935
394	10942	2908
395	10983	2884
396	11015	2857
397	11039	2829
398	11064	2800
399	11088	2772
400	11115	2744
401	11144	2716
402	11170	2688
403	11197	2660
404	11226	2633
405	11261	2607
406	11291	2580
407	11322	2553
408	11365	2528
409	11390	2500
410	11416	2472
411	11443	2444
412	11470	2416
413	11495	2387
414	11520	2359
415	11546	2331
416	11583	2305
417	11616	2278
418	11643	2250
419	11669	2222
420	11698	2195
421	11721	2166
422	11747	2138
423	11775	2110
424	11809	2083
425	11838	2056
426	11869	2029
427	11894	2000
428	11922	1973
429	11954	1946
430	11985	1918
431	12014	1891
432	12042	1863
433	12069	1835
434	12106	1809
435	12129	1780
436	12156	1752
437	12181	1724
438	12213	1697
439	12242	1669
440	12274	1642
441	12311	1615
442	12343	1588
443	12372	1560
444	12399	1532
445	12426	1504
446	12453	1476
447	12477	1448
448	12503	1420
449	12535	1392
450	12570	1365
451	12601	1338
452	12629	1310
453	12658	1282
454	12688	1254
455	12723	1227
456	12760	1200
457	12781	1172
458	12808	1144
459	12838	1116
460	12865	1088
461	12892	1060
462	12919	1032
463	12949	1004
464	12973	976
465	12998	948
466	13024	920
467	13057	892
468	13087	865
469	13125	837
470	13164	810
471	13191	782
472	13217	754
473	13248	726
474	13278	698
475	13304	670
476	13340	643
477	13375	615
478	13404	587
479	13429	559
480	13463	531
481	13489	503
482	13519	475
483	13551	447
484	13578	419
485	13605	391
486	13632	363
487	13659	335
488	13687	307
489	13724	280
490	13754	252
491	13778	224
492	13812	196
493	13839	168
494	13869	140
495	13896	112
496	13922	84
497	13947	56
498	13973	28
499	14003	0
